State,Pop,density,Birdcount,PlantCount
CA,39937500,256.3728,30.0,14.0
TX,29472300,112.8204,21.0,1.0
FL,21993000,410.1259,23.0,9.0
NY,19440500,412.5218,2.0,1.0
IL,12659700,228.0246,1.0,1.0
NC,10611900,218.271,3.0,1.0
AZ,7378490,64.9549,7.0,3.0
MA,6976600,894.4359,2.0,1.0
SC,5210100,173.3176,9.0,2.0
OR,4301090,44.8086,4.0,1.0
UT,3282120,39.943000000000005,3.0,1.0
IA,3179850,56.9284,1.0,1.0
MS,2989260,63.7056,7.0,1.0
NM,2096640,17.285,7.0,2.0
NE,1952570,25.4161,5.0,2.0
HI,1412690,219.9424,33.0,24.0
