State,Pop,density
CA,39937500,256.3728
TX,29472300,112.8204
FL,21993000,410.1259
NY,19440500,412.5218
PA,12820900,286.5454
IL,12659700,228.0246
OH,11747700,287.504
GA,10736100,186.6726
NC,10611900,218.271
MI,10045000,177.665
NJ,8936570,1215.1985
VA,8626210,218.4404
WA,7797100,117.3273
AZ,7378490,64.9549
MA,6976600,894.4359
TN,6897580,167.2749
IN,6745350,188.2809
MO,6169270,89.7453
MD,6083120,626.6735
WI,5851750,108.0496
CO,5845530,56.4012
MN,5700670,71.5922
SC,5210100,173.3176
AL,4908620,96.9221
LA,4645180,107.5174
KY,4499690,113.9566
OR,4301090,44.8086
OK,3954820,57.6546
CT,3563080,735.8695
UT,3282120,39.943
IA,3179850,56.9284
NV,3139660,28.5993
AR,3039000,58.403
PR,3032160,876.6002
MS,2989260,63.7056
KS,2910360,35.5968
NM,2096640,17.285
NE,1952570,25.4161
ID,1826160,22.097
WV,1778070,73.9691
HI,1412690,219.9424
NH,1371250,153.161
ME,1345790,43.6336
MT,1086760,7.4668
RI,1056160,1021.4313
DE,982895,504.3073
SD,903027,11.9116
ND,761723,11.0393
AK,734002,1.2863
DC,720687,11814.541
VT,628061,68.1416
WY,567025,5.84
