State,Lat,Long,Organism Type,Species Name,Federal Status,Unit Name
WI,44.5,-89.5,Plant,"Cirsium pitcheri, Pitcher's Thistle",Threatened,Leopold WMD
WI,44.5,-89.5,Plant,"Iris lacustris, Dwarf Lake Iris",Threatened,Leopold WMD
WI,44.5,-89.5,Plant,"Lespedeza leptostachya, Prairie Bush-clover",Threatened,Leopold WMD
WI,44.5,-89.5,Plant,"Oxytropis campestris var. chartacea, Fassett's Locoweed",Threatened,Leopold WMD
WI,44.5,-89.5,Plant,"Platanthera leucophaea, Eastern Prairie Fringed Orchid",Threatened,Leopold WMD
TX,31.0,-100.0,Plant,"Manihot walkerae, Walker's Manioc",Endangered,Lower Rio Grande Valley NWR
SD,44.5,-100.0,Plant,"Platanthera praeclara, Western Prairie Fringed Orchid",Threatened,Dakota Tallgrass Prairie WMA
OR,44.0,-120.5,Plant,"Lomatium bradshawii, Bradshaw's Desert-parsley",Endangered,William L. Finley NWR
OR,44.0,-120.5,Plant,"Sidalcea nelsoniana, Nelson's Checker-mallow",Threatened,William L. Finley NWR
NY,43.0,-75.0,Plant,"Agalinis acuta, sandplain gerardia",Endangered,Wertheim NWR
NE,41.5,-100.0,Plant,"Penstemon haydenii, Blowout Penstemon",Endangered,Crescent Lake NWR
NE,41.5,-100.0,Plant,"Penstemon haydenii, Blowout Penstemon",Endangered,Valentine NWR
NE,41.5,-100.0,Plant,"Platanthera praeclara, Western Prairie Fringed Orchid",Threatened,Valentine NWR
KS,38.5,-98.0,Plant,"Asclepia meadii, Mead's Milkweed",Threatened,Flint Hills NWR
KS,38.5,-98.0,Plant,"Asclepia meadii, Mead's Milkweed",Threatened,Marais des Cygnes NWR
MS,33.0,-90.0,Plant,Schwalbea americana American chaffseed,Endangered,Noxubee NWR
IL,40.0,-89.0,Plant,"Apios priceana, Price's Potato Bean",Endangered,Cypress Creek NWR
IL,40.0,-89.0,Plant,"Boltonia decurrens, Decurrent False Aster",Threatened,Meredosia NWR
