State,Pop,density,Lat,Long
CA,39937500,256.3728,36.778259000000006,-119.41793100000001
TX,29472300,112.8204,31.0,-100.0
FL,21993000,410.1259,27.994402,-81.760254
NY,19440500,412.5218,43.0,-75.0
PA,12820900,286.5454,41.203323,-77.19452700000001
IL,12659700,228.0246,40.0,-89.0
OH,11747700,287.504,40.367474,-82.996216
GA,10736100,186.6726,33.247875,-83.441162
NC,10611900,218.271,35.782169,-80.79345699999999
MI,10045000,177.665,44.182204999999996,-84.50683599999999
NJ,8936570,1215.1985,39.833851,-74.871826
VA,8626210,218.4404,37.926868,-78.024902
WA,7797100,117.3273,47.751076,-120.74013500000001
AZ,7378490,64.9549,34.048927,-111.09373500000001
MA,6976600,894.4359,42.407211,-71.382439
TN,6897580,167.2749,35.860119,-86.660156
IN,6745350,188.2809,40.273502,-86.126976
MO,6169270,89.7453,38.573935999999996,-92.60376
MD,6083120,626.6735,39.045753000000005,-76.641273
WI,5851750,108.0496,44.5,-89.5
CO,5845530,56.4012,39.113014,-105.35888700000001
MN,5700670,71.5922,46.39241,-94.63623
SC,5210100,173.3176,33.836082,-81.16372700000001
AL,4908620,96.9221,32.31823,-86.902298
LA,4645180,107.5174,30.39183,-92.3291
KY,4499690,113.9566,37.839333,-84.27002
OR,4301090,44.8086,44.0,-120.5
OK,3954820,57.6546,36.084621000000006,-96.921387
CT,3563080,735.8695,41.599998,-72.699997
UT,3282120,39.943000000000005,39.41922,-111.95068400000001
IA,3179850,56.9284,42.032973999999996,-93.58154300000001
NV,3139660,28.5993,39.876019,-117.224121
AR,3039000,58.403,34.799999,-92.199997
PR,3032160,876.6002,,
MS,2989260,63.7056,33.0,-90.0
KS,2910360,35.5968,38.5,-98.0
NM,2096640,17.285,34.307144,-106.01806599999999
NE,1952570,25.4161,41.5,-100.0
ID,1826160,22.096999999999998,44.068203000000004,-114.742043
WV,1778070,73.9691,39.0,-80.5
HI,1412690,219.9424,19.741754999999998,-155.844437
NH,1371250,153.161,44.0,-71.5
ME,1345790,43.6336,45.367584,-68.97216800000001
MT,1086760,7.4668,46.96526,-109.53369099999999
RI,1056160,1021.4313,41.700001,-71.5
DE,982895,504.3073,39.0,-75.5
SD,903027,11.9116,44.5,-100.0
ND,761723,11.0393,47.650589000000004,-100.437012
AK,734002,1.2863,66.160507,-153.36914099999998
DC,720687,11814.541000000001,,
VT,628061,68.1416,44.0,-72.699997
WY,567025,5.84,43.07597,-107.290283
